train/mean_token_accuracy,_timestamp,train/global_step,_step,_runtime,train/epoch,train/learning_rate,train/loss,train/num_tokens,train/grad_norm
0.7922989726066589,1766073770.5588214,254,253,989.283551736,0.5444801714898178,0.0001,0.8184502720832825,39556368.0,0.038228534162044525
0.7948320806026459,1766073773.9003215,255,254,992.625048321,0.5466237942122186,0.0001,0.7979162335395813,39716091.0,0.04810294136404991
0.7915854156017303,1766073777.044349,256,255,995.769069566,0.5487674169346195,0.0001,0.8241459131240845,39864668.0,0.033578209578990936
0.7799234092235565,1766073780.7552865,257,256,999.480012278,0.5509110396570204,0.0001,0.8545854091644287,40026842.0,0.05444507300853729
0.7902835607528687,1766073784.6761224,258,257,1003.400849447,0.5530546623794212,0.0001,0.8197814226150513,40185219.0,0.03732262924313545
0.7853065133094788,1766073788.0707366,259,258,1006.795475172,0.5551982851018221,0.0001,0.8388503789901733,40338073.0,0.04631023481488228
0.7828742265701294,1766073792.353509,260,259,1011.078225137,0.5573419078242229,0.0001,0.8492723703384399,40501465.0,0.04654225334525108
0.7868225574493408,1766073796.4601107,261,260,1015.184850187,0.5594855305466238,0.0001,0.8312138319015503,40657227.0,0.03259764984250069
0.7958700954914093,1766073800.4369488,262,261,1019.161696065,0.5616291532690246,0.0001,0.8006675243377686,40807442.0,0.056877993047237396
0.785252183675766,1766073804.0534513,263,262,1022.778192719,0.5637727759914255,0.0001,0.8366860151290894,40956359.0,0.03596049174666405
0.7875605523586273,1766073808.0412164,264,263,1026.765927194,0.5659163987138264,0.0001,0.8279356956481934,41113297.0,0.039392970502376556
0.7872096300125122,1766073812.9947686,265,264,1031.719489995,0.5680600214362272,0.0001,0.8288018107414246,41267327.0,0.04435959458351135
0.798094242811203,1766073815.8111227,266,265,1034.535853443,0.5702036441586281,0.0001,0.7927905321121216,41416137.0,0.04049527645111084
0.792648583650589,1766073819.3359182,267,266,1038.060647387,0.572347266881029,0.0001,0.8135437965393066,41572626.0,0.04319591447710991
0.7974422574043274,1766073822.8227286,268,267,1041.54743696,0.5744908896034298,0.0001,0.7981060743331909,41724870.0,0.04826155677437782
0.7987941801548004,1766073826.757,269,268,1045.481732863,0.5766345123258306,0.0001,0.78830486536026,41882397.0,0.03160684555768967
0.7826942801475525,1766073830.3792732,270,269,1049.10401627,0.5787781350482315,0.0001,0.8380395174026489,42044695.0,0.03320322558283806
0.7825801372528076,1766073834.0465398,271,270,1052.77126491,0.5809217577706324,0.0001,0.8533695936203003,42195750.0,0.04003995656967163
0.787233978509903,1766073837.845363,272,271,1056.5700985,0.5830653804930332,0.0001,0.844110369682312,42347658.0,0.03556090220808983
0.7818765640258789,1766073841.6129518,273,272,1060.337656048,0.5852090032154341,0.0001,0.8492100834846497,42499617.0,0.03979020565748215
