train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765917379.041998,26513585.0,170.0,169,0.8272684812545776,0.01437009684741497,0.7900551408529282,1257.808483701,0.36441586280814575,
0.0001,1765917387.3307977,26680409.0,171.0,170,0.8591005802154541,0.011123030446469784,0.7828121483325958,1266.097316138,0.3665594855305466,
0.0001,1765917393.2406003,26817383.0,172.0,171,0.799929141998291,0.02587291970849037,0.7996987104415894,1272.007054344,0.3687031082529475,
0.0001,1765917399.9395814,26962206.0,173.0,172,0.8473882079124451,0.010245040990412235,0.7866457998752594,1278.706099125,0.3708467309753483,
0.0001,1765917407.8290434,27123276.0,174.0,173,0.8220854997634888,0.02057930827140808,0.7916837930679321,1286.595547979,0.3729903536977492,
0.0001,1765917415.6848662,27290681.0,175.0,174,0.8551258444786072,0.011299408972263336,0.782890573143959,1294.451351497,0.37513397642015006,
0.0001,1765917422.7693477,27449673.0,176.0,175,0.8576158881187439,0.012419640086591244,0.7824414521455765,1301.535838133,0.37727759914255093,
0.0001,1765917429.4026835,27601441.0,177.0,176,0.8261961936950684,0.01575310528278351,0.7902715057134628,1308.169150954,0.37942122186495175,
0.0001,1765917436.578323,27748300.0,178.0,177,0.8389449119567871,0.01030293945223093,0.7892352789640427,1315.344808201,0.3815648445873526,
0.0001,1765917443.7515295,27900973.0,179.0,178,0.7965550422668457,0.013495470397174358,0.7990358918905258,1322.517991065,0.3837084673097535,
0.0001,1765917451.3158724,28057386.0,180.0,179,0.8399391770362854,0.014883696101605892,0.7876138836145401,1330.082347181,0.3858520900321543,
0.0001,1765917458.6916268,28218433.0,181.0,180,0.8455644845962524,0.014995408244431019,0.7860592305660248,1337.458093981,0.3879957127545552,
0.0001,1765917467.2180564,28378531.0,182.0,181,0.8336046934127808,0.010114822536706924,0.7895289212465286,1345.984554393,0.39013933547695606,
0.0001,1765917472.550817,28517567.0,183.0,182,0.7720880508422852,0.01188636850565672,0.8053105920553207,1351.31731124,0.39228295819935693,
0.0001,1765917479.1988597,28678245.0,184.0,183,0.7988229990005493,0.00985629577189684,0.7948700785636902,1357.965360219,0.39442658092175775,
0.0001,1765917487.1602838,28847748.0,185.0,184,0.8513288497924805,0.010699983686208725,0.7858187109231949,1365.926746443,0.3965702036441586,
0.0001,1765917493.6308684,29003477.0,186.0,185,0.8326737880706787,0.011301031336188316,0.7898577749729156,1372.397337271,0.3987138263665595,
0.0001,1765917501.9302332,29163981.0,187.0,186,0.8307939767837524,0.01290073897689581,0.7894362956285477,1380.696698073,0.4008574490889603,
