_timestamp,train/loss,train/epoch,train/grad_norm,train/global_step,_step,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765917346.0392957,0.7647379040718079,0.3515541264737406,0.010240079835057259,164.0,163,25583830.0,0.001,0.805382564663887,1210.190322151,
1765917353.42158,0.8141855001449585,0.3536977491961415,0.008531613275408745,165.0,164,25742285.0,0.001,0.790924459695816,1217.572657209,
1765917361.676618,0.7943793535232544,0.3558413719185423,0.010744141414761543,166.0,165,25907065.0,0.001,0.7954985350370407,1225.827648894,
1765917367.6853437,0.7761250734329224,0.3579849946409432,0.00833213608711958,167.0,166,26051750.0,0.001,0.7991880625486374,1231.836392548,
1765917374.7780476,0.8079328536987305,0.36012861736334406,0.009790434502065182,168.0,167,26204362.0,0.001,0.7939733862876892,1238.9291032,
1765917382.8347597,0.827301561832428,0.36227224008574493,0.008186127059161663,169.0,168,26364857.0,0.001,0.7870211452245712,1246.985788933,
1765917389.0602846,0.7908945083618164,0.36441586280814575,0.00848986767232418,170.0,169,26513585.0,0.001,0.7973976731300354,1253.211341518,
1765917397.2100496,0.8253798484802246,0.3665594855305466,0.008296097628772259,171.0,170,26680409.0,0.001,0.7896035313606262,1261.3610965,
1765917403.118967,0.7626384496688843,0.3687031082529475,0.009778590872883797,172.0,171,26817383.0,0.001,0.8057932555675507,1267.270001358,
1765917409.8414958,0.8101246356964111,0.3708467309753483,0.009237075224518776,173.0,172,26962206.0,0.001,0.7943309545516968,1273.992538216,
1765917417.778958,0.787065863609314,0.3729903536977492,0.009883380495011806,174.0,173,27123276.0,0.001,0.7986065894365311,1281.929989516,
1765917425.6280644,0.8194097876548767,0.37513397642015006,0.007440578658133745,175.0,174,27290681.0,0.001,0.7902142256498337,1289.77912492,
1765917432.702251,0.8222798705101013,0.37727759914255093,0.008111100643873215,176.0,175,27449673.0,0.001,0.7889014184474945,1296.853317183,
1765917439.380186,0.7905901074409485,0.37942122186495175,0.00941445678472519,177.0,176,27601441.0,0.001,0.7971313297748566,1303.531278618,
1765917446.5951338,0.803778886795044,0.3815648445873526,0.0108355563133955,178.0,177,27748300.0,0.001,0.7954764366149902,1310.746166931,
1765917453.7280486,0.7602897882461548,0.3837084673097535,0.008350009098649025,179.0,178,27900973.0,0.001,0.8058585226535797,1317.879097502,
1765917461.2320156,0.8032258152961731,0.3858520900321543,0.00968177616596222,180.0,179,28057386.0,0.001,0.7945216149091721,1325.383072378,
1765917468.5856435,0.8101276159286499,0.3879957127545552,0.007909324951469898,181.0,180,28218433.0,0.001,0.7926173359155655,1332.736699834,
1765917477.1227417,0.7979230284690857,0.39013933547695606,0.009162869304418564,182.0,181,28378531.0,0.001,0.7961501777172089,1341.273782046,
1765917482.4393902,0.7366591095924377,0.39228295819935693,0.007936820387840271,183.0,182,28517567.0,0.001,0.811406597495079,1346.590428983,
1765917489.1075428,0.7641430497169495,0.39442658092175775,0.007296474650502205,184.0,183,28678245.0,0.001,0.8021783828735352,1353.25859827,
