_timestamp,_runtime,train/loss,train/num_tokens,train/global_step,train/grad_norm,train/learning_rate,train/mean_token_accuracy,_step,train/epoch,eval/accuracy
1765917718.8252053,1605.956743283,0.9410538673400879,38168011.0,245.0,0.058556798845529556,1e-05,0.7651794701814651,244,0.5251875669882101,
1765917724.9768078,1612.108355275,0.8881765604019165,38326230.0,246.0,0.05766686052083969,1e-05,0.7781911343336105,245,0.5273311897106109,
1765917731.4792414,1618.61077311,0.8383805155754089,38478252.0,247.0,0.055196575820446014,1e-05,0.791510134935379,246,0.5294748124330118,
1765917736.8511603,1623.982701959,0.8645554780960083,38625546.0,248.0,0.05747247487306595,1e-05,0.7849768400192261,247,0.5316184351554126,
1765917743.454779,1630.58631046,0.8852224349975586,38771391.0,249.0,0.05389900505542755,1e-05,0.7782100439071655,248,0.5337620578778135,
1765917750.3155417,1637.447075332,0.8868922591209412,38929652.0,250.0,0.0475107841193676,1e-05,0.7777259051799774,249,0.5359056806002144,
1765917756.1491597,1643.280687061,0.8938412666320801,39078825.0,251.0,0.04764266684651375,1e-05,0.7742810249328613,250,0.5380493033226152,
1765917763.1296995,1650.261236261,0.90227872133255,39250764.0,252.0,0.044424090534448624,1e-05,0.7728391885757446,251,0.5401929260450161,
1765917769.280133,1656.411676387,0.8631112575531006,39401652.0,253.0,0.047714587301015854,1e-05,0.7845286577939987,252,0.5423365487674169,
1765917775.938238,1663.069789374,0.8704473972320557,39556368.0,254.0,0.04320351406931877,1e-05,0.782852828502655,253,0.5444801714898178,
1765917781.9516375,1669.083172568,0.8528413772583008,39716091.0,255.0,0.044860899448394775,1e-05,0.7845735549926758,254,0.5466237942122186,
1765917787.4274752,1674.559035992,0.8802884817123413,39864668.0,256.0,0.04461979120969772,1e-05,0.7813610434532166,255,0.5487674169346195,
1765917794.1196125,1681.251162607,0.9069026112556458,40026842.0,257.0,0.043171387165784836,1e-05,0.7702284008264542,256,0.5509110396570204,
1765917800.661684,1687.793227236,0.8783354759216309,40185219.0,258.0,0.04336148500442505,1e-05,0.7808021008968353,257,0.5530546623794212,
1765917806.6155055,1693.747030072,0.8948404788970947,40338073.0,259.0,0.04510633647441864,1e-05,0.7744023203849792,258,0.5551982851018221,
1765917813.3374832,1700.468990102,0.8984249830245972,40501465.0,260.0,0.04294746741652489,1e-05,0.7737504988908768,259,0.5573419078242229,
1765917819.8354309,1706.96696542,0.8853027820587158,40657227.0,261.0,0.0417766273021698,1e-05,0.7790912389755249,260,0.5594855305466238,
1765917826.278131,1713.409669694,0.8516523838043213,40807442.0,262.0,0.04496067389845848,1e-05,0.7874607741832733,261,0.5616291532690246,
1765917832.928281,1720.059831276,0.8921663761138916,40956359.0,263.0,0.04775938019156456,1e-05,0.7755949348211288,262,0.5637727759914255,
1765917840.0199392,1727.151500745,0.886021614074707,41113297.0,264.0,0.0433548241853714,1e-05,0.7775107324123383,263,0.5659163987138264,
1765917846.3998916,1733.531433351,0.8844536542892456,41267327.0,265.0,0.04299619793891907,1e-05,0.7784622460603714,264,0.5680600214362272,
1765917851.5115256,1738.643048047,0.854594349861145,41416137.0,266.0,0.0472470261156559,1e-05,0.7882182896137238,265,0.5702036441586281,
1765917857.9632673,1745.09480879,0.8663656711578369,41572626.0,267.0,0.043150875717401505,1e-05,0.7830260843038559,266,0.572347266881029,
1765917864.099783,1751.231307064,0.8521687388420105,41724870.0,268.0,0.04369420185685158,1e-05,0.7893186658620834,267,0.5744908896034298,
