train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.8071247041225433,10479.148173634,1765927034.2794678,0.7170722484588623,0.03421309217810631,48027087.0,309.0,0.662379421221865,308,
1e-05,0.7961588203907013,10511.89526266,1765927067.0265257,0.7611153721809387,0.06058952212333679,48181216.0,310.0,0.6645230439442658,309,
1e-05,0.793401837348938,10547.876353054,1765927103.0075607,0.7807706594467163,0.044612348079681396,48346653.0,311.0,0.6666666666666666,310,
1e-05,0.7959173321723938,10580.708940251,1765927135.840277,0.7703545093536377,0.04426519572734833,48515202.0,312.0,0.6688102893890675,311,
1e-05,0.8002735376358032,10614.353164313,1765927169.484389,0.7533518671989441,0.05365149676799774,48681596.0,313.0,0.6709539121114684,312,
1e-05,0.8165965378284454,10649.378838407,1765927204.5099742,0.6813921928405762,0.05686967819929123,48830511.0,314.0,0.6730975348338692,313,
1e-05,0.8011924922466278,10687.600401154,1765927242.7317557,0.7507052421569824,0.03261302411556244,48979750.0,315.0,0.6752411575562701,314,
1e-05,0.8085900247097015,10726.426791184,1765927281.5581353,0.7246308326721191,0.04512016102671623,49140486.0,316.0,0.677384780278671,315,
1e-05,0.8066195845603943,10767.827575588,1765927322.958844,0.7242633104324341,0.0330844447016716,49297672.0,317.0,0.6795284030010718,316,
1e-05,0.8073367476463318,10797.899361729,1765927353.0305722,0.7249462008476257,0.02275872230529785,49448662.0,318.0,0.6816720257234726,317,
1e-05,0.8076983988285065,10831.44584929,1765927386.577045,0.7232276201248169,0.021971745416522026,49615721.0,319.0,0.6838156484458735,318,
1e-05,0.8105095326900482,10862.965214041,1765927418.0965023,0.7049461603164673,0.04372075945138931,49770136.0,320.0,0.6859592711682744,319,
1e-05,0.802858978509903,10896.951007877,1765927452.082303,0.7424200773239136,0.03205529600381851,49932945.0,321.0,0.6881028938906752,320,
1e-05,0.8111640810966492,10930.803512998,1765927485.9347408,0.7021706104278564,0.014280442148447037,50079045.0,322.0,0.6902465166130761,321,
1e-05,0.799872100353241,10968.05245471,1765927523.1836314,0.745849609375,0.023015132173895836,50243726.0,323.0,0.692390139335477,322,
1e-05,0.8068177998065948,11007.910881332,1765927563.0422378,0.7307480573654175,0.03559260070323944,50404071.0,324.0,0.6945337620578779,323,
1e-05,0.7990532517433167,11044.608064016,1765927599.7393277,0.7509926557540894,0.022120362147688866,50557944.0,325.0,0.6966773847802786,324,
