train/learning_rate,_timestamp,train/grad_norm,train/num_tokens,train/global_step,train/loss,train/mean_token_accuracy,_step,_runtime,train/epoch,eval/accuracy
1e-05,1765924230.6483405,0.042582444846630096,38929652.0,250.0,0.7419153451919556,0.8011946380138397,249,7696.168586705,0.5359056806002144,
1e-05,1765924257.4175885,0.04289112240076065,39078825.0,251.0,0.7449946403503418,0.7987154722213745,250,7722.937940276,0.5380493033226152,
1e-05,1765924290.2516441,0.042092278599739075,39250764.0,252.0,0.7591828107833862,0.7969968914985657,251,7755.771917545,0.5401929260450161,
1e-05,1765924322.2967842,0.04704553261399269,39401652.0,253.0,0.7140665054321289,0.8083741664886475,252,7787.817053753,0.5423365487674169,
1e-05,1765924352.4726932,0.03747938945889473,39556368.0,254.0,0.7284401059150696,0.8061661422252655,253,7817.993102359,0.5444801714898178,
1e-05,1765924379.5572774,0.043506890535354614,39716091.0,255.0,0.7115725874900818,0.8091455399990082,254,7845.077527622,0.5466237942122186,
1e-05,1765924405.8678284,0.041603799909353256,39864668.0,256.0,0.733874499797821,0.8046586811542511,255,7871.388100005,0.5487674169346195,
1e-05,1765924435.7096786,0.0421997532248497,40026842.0,257.0,0.7670480012893677,0.7931844890117645,256,7901.230008264,0.5509110396570204,
1e-05,1765924468.0333424,0.04105405882000923,40185219.0,258.0,0.73203444480896,0.8045102655887604,257,7933.553599745,0.5530546623794212,
1e-05,1765924496.1464772,0.04107214882969856,40338073.0,259.0,0.750983715057373,0.7994137406349182,258,7961.666728785,0.5551982851018221,
1e-05,1765924528.6323674,0.036988671869039536,40501465.0,260.0,0.762539267539978,0.7958419024944305,259,7994.152606577,0.5573419078242229,
1e-05,1765924561.9287744,0.038223911076784134,40657227.0,261.0,0.7363424897193909,0.8018782138824463,260,8027.449037775,0.5594855305466238,
1e-05,1765924593.8976028,0.03835926949977875,40807442.0,262.0,0.7112441062927246,0.8102838695049286,261,8059.41786516,0.5616291532690246,
1e-05,1765924624.4474425,0.04112971946597099,40956359.0,263.0,0.746922492980957,0.8000866174697876,262,8089.967716688,0.5637727759914255,
1e-05,1765924656.866507,0.041732750833034515,41113297.0,264.0,0.7414097785949707,0.8010168671607971,263,8122.386734438,0.5659163987138264,
1e-05,1765924694.1830719,0.045034948736429214,41267327.0,265.0,0.73878014087677,0.8018203675746918,264,8159.703329491,0.5680600214362272,
1e-05,1765924716.735106,0.04562462866306305,41416137.0,266.0,0.7110775709152222,0.8108818233013153,265,8182.255344229,0.5702036441586281,
1e-05,1765924746.1409783,0.04660884663462639,41572626.0,267.0,0.7252835035324097,0.8066708445549011,266,8211.661214862,0.572347266881029,
1e-05,1765924774.3834665,0.037821073085069656,41724870.0,268.0,0.709579348564148,0.811193585395813,267,8239.90373091,0.5744908896034298,
1e-05,1765924808.519529,0.04238881170749664,41882397.0,269.0,0.702648401260376,0.8118468821048737,268,8274.039810249,0.5766345123258306,
1e-05,1765924837.781978,0.038391709327697754,42044695.0,270.0,0.7499707937240601,0.796413779258728,269,8303.302285912,0.5787781350482315,
1e-05,1765924867.3036969,0.055446259677410126,42195750.0,271.0,0.7600517272949219,0.7973324358463287,270,8332.824015887,0.5809217577706324,
1e-05,1765924898.5580313,0.03928332403302193,42347658.0,272.0,0.7515294551849365,0.8012549579143524,271,8364.078298284,0.5830653804930332,
1e-05,1765924928.288267,0.08140480518341064,42499617.0,273.0,0.7584492564201355,0.7956684231758118,272,8393.808670189,0.5852090032154341,
1e-05,1765924958.102221,0.04435141384601593,42648060.0,274.0,0.7035523653030396,0.8115006685256958,273,8423.622459524,0.587352625937835,
1e-05,1765924987.2001665,0.039724837988615036,42799438.0,275.0,0.7248636484146118,0.8054748177528381,274,8452.720394562,0.5894962486602358,
1e-05,1765925020.0899603,0.05003826692700386,42945465.0,276.0,0.7217841744422913,0.8073681890964508,275,8485.610208521,0.5916398713826366,
1e-05,1765925048.4235606,0.04159170016646385,43089377.0,277.0,0.7067466974258423,0.809810221195221,276,8513.943995607,0.5937834941050375,
1e-05,1765925086.3862972,0.04250894859433174,43253006.0,278.0,0.7703882455825806,0.794796496629715,277,8551.906661269,0.5959271168274384,
1e-05,1765925121.19317,0.10072267800569534,43420433.0,279.0,0.7296525239944458,0.8044359982013702,278,8586.713522158,0.5980707395498392,
1e-05,1765925149.2508419,0.12569740414619446,43577695.0,280.0,0.7285720109939575,0.8057708442211151,279,8614.771200965,0.6002143622722401,
1e-05,1765925185.97024,0.10911884158849716,43738482.0,281.0,0.7197349071502686,0.8059068024158478,280,8651.490482623,0.602357984994641,
1e-05,1765925221.8924172,0.14116939902305603,43895774.0,282.0,0.732699990272522,0.8033984899520874,281,8687.412669516,0.6045016077170418,
1e-05,1765925248.114843,0.13821832835674286,44045728.0,283.0,0.7334578037261963,0.8043602705001831,282,8713.635132138,0.6066452304394426,
1e-05,1765925281.7994924,0.12653331458568573,44207082.0,284.0,0.7372137308120728,0.7994963228702545,283,8747.319726876,0.6087888531618435,
1e-05,1765925314.2188487,0.036864832043647766,44360492.0,285.0,0.7519934177398682,0.7990245223045349,284,8779.739107536,0.6109324758842444,
1e-05,1765925346.064601,0.1469586193561554,44507249.0,286.0,0.6919161081314087,0.8143240213394165,285,8811.584844517,0.6130760986066452,
1e-05,1765925377.8476539,0.048753395676612854,44657380.0,287.0,0.7270712852478027,0.8091739118099213,286,8843.367913066,0.6152197213290461,
1e-05,1765925404.2705188,0.11535994708538055,44809690.0,288.0,0.7226295471191406,0.8059067130088806,287,8869.790791753,0.617363344051447,
1e-05,1765925429.0321722,0.18344463407993317,44958006.0,289.0,0.6996886730194092,0.812184751033783,288,8894.552434759,0.6195069667738478,
1e-05,1765925459.0663745,0.13110607862472534,45127484.0,290.0,0.7504206299781799,0.7999258637428284,289,8924.586645227,0.6216505894962486,
1e-05,1765925492.4478962,0.14843644201755524,45288670.0,291.0,0.7749204635620117,0.7950673997402191,290,8957.968188934,0.6237942122186495,
1e-05,1765925516.1079118,0.1806601583957672,45435435.0,292.0,0.7118498086929321,0.8090715408325195,291,8981.62814617,0.6259378349410504,
1e-05,1765925545.6376693,0.07181784510612488,45582758.0,293.0,0.7242780923843384,0.8054555654525757,292,9011.157899467,0.6280814576634512,
1e-05,1765925574.5652864,0.0532272532582283,45724786.0,294.0,0.7028002738952637,0.81146439909935,293,9040.085542759,0.6302250803858521,
1e-05,1765925601.244183,0.10207032412290573,45875653.0,295.0,0.7146100997924805,0.808527022600174,294,9066.76446334,0.632368703108253,
1e-05,1765925629.7472236,0.12842513620853424,46026612.0,296.0,0.7120505571365356,0.8086515665054321,295,9095.267487952,0.6345123258306538,
1e-05,1765925656.6314635,0.1473061442375183,46173537.0,297.0,0.7187700271606445,0.8074039816856384,296,9122.151720236,0.6366559485530546,
1e-05,1765925687.58503,0.035573869943618774,46337020.0,298.0,0.751615583896637,0.8000494241714478,297,9153.105435077,0.6387995712754555,
1e-05,1765925716.1352417,0.13685934245586395,46484878.0,299.0,0.7372509241104126,0.805452972650528,298,9181.65550078,0.6409431939978564,
1e-05,1765925744.9954484,0.14639702439308167,46638837.0,300.0,0.7335699796676636,0.8019830882549286,299,9210.515692711,0.6430868167202572,
1e-05,1765925779.8947713,0.1593463271856308,46792654.0,301.0,0.7233096361160278,0.8060604333877563,300,9245.415046113,0.6452304394426581,
1e-05,1765925808.0512028,0.08895162492990494,46956735.0,302.0,0.7465070486068726,0.7982861995697021,301,9273.571441704,0.647374062165059,
1e-05,1765925844.9184885,0.14774587750434875,47119017.0,303.0,0.7691942453384399,0.7965188324451447,302,9310.438687792,0.6495176848874598,
1e-05,1765925880.3212235,0.14673763513565063,47277064.0,304.0,0.7249902486801147,0.805861234664917,303,9345.841446957,0.6516613076098606,
1e-05,1765925917.1990445,0.035669099539518356,47425177.0,305.0,0.7305212020874023,0.8022986650466919,304,9382.7192847,0.6538049303322615,
1e-05,1765925941.2447982,0.04883887618780136,47567815.0,306.0,0.6969826221466064,0.8134357333183289,305,9406.765073788,0.6559485530546624,
1e-05,1765925968.6116486,0.10753761231899261,47711542.0,307.0,0.6847397089004517,0.8139550089836121,306,9434.131916603,0.6580921757770632,
1e-05,1765925998.5936794,0.1487741470336914,47867963.0,308.0,0.7403690814971924,0.8045811355113983,307,9464.113912983,0.6602357984994641,
1e-05,1765926031.2293,0.04386815056204796,48027087.0,309.0,0.7161087989807129,0.8072124719619751,308,9496.749559088,0.662379421221865,
1e-05,1765926061.074635,0.043168552219867706,48181216.0,310.0,0.7590529918670654,0.7962749600410461,309,9526.594873062,0.6645230439442658,
1e-05,1765926093.6860623,0.1400085687637329,48346653.0,311.0,0.7800890207290649,0.7934385538101196,310,9559.206326627,0.6666666666666666,
1e-05,1765926123.7176359,0.13004595041275024,48515202.0,312.0,0.7694951295852661,0.7962613999843597,311,9589.237885541,0.6688102893890675,
1e-05,1765926154.2013857,0.07062512636184692,48681596.0,313.0,0.7517719864845276,0.8003641068935394,312,9619.721635235,0.6709539121114684,
1e-05,1765926185.852297,0.08682744950056076,48830511.0,314.0,0.6799750328063965,0.8167332708835602,313,9651.37254211,0.6730975348338692,
